Format:             MT2DData_1.0
#Description:      Data file generated by MATLAB at 27-Aug-2022 14:15:03
#Comments:         
Receiver Location (m):    41
#     Y     Z
        0.00         0.00
      400.00         0.00
      800.00         0.00
     1200.00         0.00
     1600.00         0.00
     2000.00         0.00
     2400.00         0.00
     2800.00         0.00
     3200.00         0.00
     3600.00         0.00
     4000.00         0.00
     4400.00         0.00
     4800.00         0.00
     5200.00         0.00
     5600.00         0.00
     6000.00         0.00
     6400.00         0.00
     6800.00         0.00
     7200.00         0.00
     7600.00         0.00
     8000.00         0.00
     8400.00         0.00
     8800.00         0.00
     9200.00         0.00
     9600.00         0.00
    10000.00         0.00
    10400.00         0.00
    10800.00         0.00
    11200.00         0.00
    11600.00         0.00
    12000.00         0.00
    12400.00         0.00
    12800.00         0.00
    13200.00         0.00
    13600.00         0.00
    14000.00         0.00
    14400.00         0.00
    14800.00         0.00
    15200.00         0.00
    15600.00         0.00
    16000.00         0.00
Frequencies (Hz):    11
    1.00000e+02
    3.98110e+01
    1.58490e+01
    6.30960e+00
    2.51190e+00
    1.00000e+00
    3.98110e-01
    1.58490e-01
    6.30960e-02
    2.51190e-02
    1.00000e-02
DataType:  Impedance
DataComp:     2
ZXY
ZYX
Data Block:     902
# FreqNo.  RxNo.   DataType    RealValue     ImagValue      Error
    1     40        2   -1.714474e-01   -1.987202e-01    1.403790e-02
    1     41        1    2.076278e-01    1.986627e-01    1.406136e-02
    1     41        2   -2.074265e-01   -1.987205e-01    1.403790e-02
    2      1        1    1.431411e-01    1.253219e-01    8.864768e-03
    2      1        2   -1.204224e-01   -1.253644e-01    8.862509e-03
    2      2        1    1.280302e-01    1.252819e-01    8.863740e-03
    2      2        2   -1.322010e-01   -1.253597e-01    8.862421e-03
    2      3        1    1.160268e-01    1.252235e-01    8.863199e-03
    2      3        2   -1.409872e-01   -1.253531e-01    8.862445e-03
    2      4        1    1.218235e-01    1.251570e-01    8.864639e-03
    2      4        2   -1.346665e-01   -1.253463e-01    8.862852e-03
    2      5        1    1.315337e-01    1.251204e-01    8.870965e-03
    2      5        2   -1.281881e-01   -1.253464e-01    8.864255e-03
    2      6        1    1.418750e-01    1.252040e-01    8.886914e-03
    2      6        2   -1.120550e-01   -1.253749e-01    8.868032e-03
    2      7        1    1.281444e-01    1.255764e-01    8.918753e-03
    2      7        2   -1.281028e-01   -1.254889e-01    8.877076e-03
    2      8        1    1.376182e-01    1.264971e-01    8.972436e-03
    2      8        2   -1.360209e-01   -1.258313e-01    8.897224e-03
    2      9        1    1.337836e-01    1.282640e-01    9.049261e-03
    2      9        2   -1.320865e-01   -1.267226e-01    8.938846e-03
    2     10        1    1.238492e-01    1.310107e-01    9.140873e-03
    2     10        2   -1.323336e-01   -1.287178e-01    9.015830e-03
    2     11        1    1.320049e-01    1.343522e-01    9.233210e-03
    2     11        2   -1.332096e-01   -1.321765e-01    9.134063e-03
    2     12        1    1.160874e-01    1.373471e-01    9.319335e-03
    2     12        2   -1.207870e-01   -1.360514e-01    9.268753e-03
    2     13        1    1.219458e-01    1.392796e-01    9.388145e-03
    2     13        2   -1.227790e-01   -1.387349e-01    9.376312e-03
    2     14        1    1.228084e-01    1.402274e-01    9.430230e-03
    2     14        2   -1.240616e-01   -1.400880e-01    9.441111e-03
    2     15        1    1.073947e-01    1.405949e-01    9.449471e-03
    2     15        2   -1.224729e-01   -1.406241e-01    9.470334e-03
    2     16        1    1.438354e-01    1.406535e-01    9.452362e-03
    2     16        2   -1.170055e-01   -1.406967e-01    9.471847e-03
    2     17        1    1.347707e-01    1.404559e-01    9.440224e-03
    2     17        2   -1.287062e-01   -1.403083e-01    9.443788e-03
    2     18        1    1.275910e-01    1.398309e-01    9.407516e-03
    2     18        2   -1.234118e-01   -1.390436e-01    9.372011e-03
    2     19        1    1.265489e-01    1.383369e-01    9.344058e-03
    2     19        2   -1.326216e-01   -1.360362e-01    9.235634e-03
    2     20        1    1.227435e-01    1.353758e-01    9.247001e-03
    2     20        2   -1.265630e-01   -1.304140e-01    9.031741e-03
    2     21        1    1.231314e-01    1.308324e-01    9.134964e-03
    2     21        2   -1.188190e-01   -1.231524e-01    8.816490e-03
    2     22        1    1.475846e-01    1.256434e-01    9.023090e-03
    2     22        2   -1.386963e-01   -1.177877e-01    8.668909e-03
    2     23        1    1.319126e-01    1.210637e-01    8.910244e-03
    2     23        2   -1.399144e-01   -1.152441e-01    8.593925e-03
    2     24        1    1.424913e-01    1.177414e-01    8.807542e-03
    2     24        2   -1.154535e-01   -1.142479e-01    8.560786e-03
    2     25        1    1.161990e-01    1.157023e-01    8.728130e-03
    2     25        2   -1.108745e-01   -1.138693e-01    8.546798e-03
    2     26        1    1.208038e-01    1.147288e-01    8.677407e-03
    2     26        2   -1.255266e-01   -1.137223e-01    8.541049e-03
    2     27        1    1.392193e-01    1.145989e-01    8.654097e-03
    2     27        2   -1.261987e-01   -1.136936e-01    8.539788e-03
    2     28        1    1.464840e-01    1.151578e-01    8.652800e-03
    2     28        2   -1.103608e-01   -1.138124e-01    8.543445e-03
    2     29        1    1.296887e-01    1.163003e-01    8.665372e-03
    2     29        2   -1.436990e-01   -1.142592e-01    8.555907e-03
    2     30        1    1.243244e-01    1.179060e-01    8.682805e-03
    2     30        2   -1.343600e-01   -1.154428e-01    8.584323e-03
    2     31        1    1.195874e-01    1.197728e-01    8.700925e-03
    2     31        2   -1.360149e-01   -1.178379e-01    8.635892e-03
    2     32        1    1.258269e-01    1.216215e-01    8.725392e-03
    2     32        2   -1.078770e-01   -1.209343e-01    8.706720e-03
    2     33        1    1.183028e-01    1.231794e-01    8.759519e-03
    2     33        2   -1.273323e-01   -1.232707e-01    8.773323e-03
    2     34        1    1.347540e-01    1.242914e-01    8.795888e-03
    2     34        2   -1.142052e-01   -1.245106e-01    8.818004e-03
    2     35        1    1.289624e-01    1.249641e-01    8.826148e-03
    2     35        2   -1.159705e-01   -1.250526e-01    8.842208e-03
    2     36        1    1.326293e-01    1.253035e-01    8.846959e-03
    2     36        2   -1.285392e-01   -1.252637e-01    8.853787e-03
    2     37        1    1.289379e-01    1.254357e-01    8.859135e-03
    2     37        2   -1.278797e-01   -1.253397e-01    8.858967e-03
    2     38        1    1.173056e-01    1.254610e-01    8.865145e-03
    2     38        2   -1.196432e-01   -1.253650e-01    8.861208e-03
    2     39        1    1.259651e-01    1.254432e-01    8.867480e-03
    2     39        2   -1.269459e-01   -1.253723e-01    8.862166e-03
    2     40        1    1.279954e-01    1.254157e-01    8.867971e-03
    2     40        2   -1.165444e-01   -1.253735e-01    8.862573e-03
    2     41        1    1.289094e-01    1.253924e-01    8.867734e-03
    2     41        2   -1.235789e-01   -1.253727e-01    8.862732e-03
    3      1        1    8.105779e-02    7.911764e-02    5.607602e-03
    3      1        2   -7.882630e-02   -7.915702e-02    5.595687e-03
    3      2        1    7.528723e-02    7.925196e-02    5.617621e-03
    3      2        2   -7.469907e-02   -7.918710e-02    5.596372e-03
    3      3        1    8.773364e-02    7.949020e-02    5.631736e-03
    3      3        2   -8.206782e-02   -7.922805e-02    5.596984e-03
    3      4        1    9.083323e-02    7.988152e-02    5.650556e-03
    3      4        2   -8.002051e-02   -7.928410e-02    5.597396e-03
    3      5        1    7.861532e-02    8.048563e-02    5.673992e-03
    3      5        2   -8.398047e-02   -7.936471e-02    5.597506e-03
    3      6        1    7.534344e-02    8.136700e-02    5.700490e-03
    3      6        2   -8.415483e-02   -7.949282e-02    5.597281e-03
    3      7        1    8.136552e-02    8.257819e-02    5.725787e-03
    3      7        2   -6.963414e-02   -7.972265e-02    5.596717e-03
    3      8        1    8.118506e-02    8.412204e-02    5.741295e-03
    3      8        2   -7.329247e-02   -8.017295e-02    5.595297e-03
    3      9        1    8.366852e-02    8.588718e-02    5.733418e-03
    3      9        2   -8.816994e-02   -8.107213e-02    5.590188e-03
    3     10        1    7.165216e-02    8.760876e-02    5.689210e-03
    3     10        2   -7.273540e-02   -8.275463e-02    5.574248e-03
    3     11        1    7.251467e-02    8.904434e-02    5.616767e-03
    3     11        2   -7.798962e-02   -8.539228e-02    5.544825e-03
    3     12        1    5.924446e-02    9.029138e-02    5.557902e-03
    3     12        2   -6.197775e-02   -8.838239e-02    5.525701e-03
    3     13        1    6.187546e-02    9.143207e-02    5.538210e-03
    3     13        2   -6.027553e-02   -9.072534e-02    5.532282e-03
    3     14        1    5.608258e-02    9.228861e-02    5.542565e-03
    3     14        2   -7.087217e-02   -9.213392e-02    5.547299e-03
    3     15        1    6.522179e-02    9.275141e-02    5.550546e-03
    3     15        2   -5.457186e-02   -9.274473e-02    5.555907e-03
    3     16        1    7.000985e-02    9.283215e-02    5.552575e-03
    3     16        2   -6.968316e-02   -9.267296e-02    5.552206e-03
    3     17        1    5.377392e-02    9.253940e-02    5.547001e-03
    3     17        2   -6.991016e-02   -9.188723e-02    5.535463e-03
    3     18        1    6.170865e-02    9.183493e-02    5.538534e-03
    3     18        2   -6.674182e-02   -9.019964e-02    5.511160e-03
    3     19        1    7.101675e-02    9.073328e-02    5.543957e-03
    3     19        2   -7.487219e-02   -8.732429e-02    5.499355e-03
    3     20        1    5.752254e-02    8.945141e-02    5.596256e-03
    3     20        2   -7.219828e-02   -8.317479e-02    5.544434e-03
    3     21        1    7.962516e-02    8.825730e-02    5.720434e-03
    3     21        2   -8.633268e-02   -7.863214e-02    5.672470e-03
    3     22        1    7.177636e-02    8.695601e-02    5.881582e-03
    3     22        2   -8.884649e-02   -7.545313e-02    5.795223e-03
    3     23        1    7.498951e-02    8.524723e-02    6.013146e-03
    3     23        2   -9.075462e-02   -7.393426e-02    5.856860e-03
    3     24        1    9.387011e-02    8.333946e-02    6.090029e-03
    3     24        2   -9.068998e-02   -7.334943e-02    5.881911e-03
    3     25        1    7.957122e-02    8.157621e-02    6.120119e-03
    3     25        2   -9.557236e-02   -7.315841e-02    5.893119e-03
    3     26        1    9.058920e-02    8.014715e-02    6.117215e-03
    3     26        2   -8.190098e-02   -7.311424e-02    5.899238e-03
    3     27        1    9.821712e-02    7.908953e-02    6.090622e-03
    3     27        2   -9.300155e-02   -7.313314e-02    5.902371e-03
    3     28        1    9.996540e-02    7.834770e-02    6.043978e-03
    3     28        2   -9.873533e-02   -7.322063e-02    5.901368e-03
    3     29        1    8.866434e-02    7.781544e-02    5.977054e-03
    3     29        2   -8.379066e-02   -7.345892e-02    5.890841e-03
    3     30        1    9.766709e-02    7.737897e-02    5.889862e-03
    3     30        2   -8.652728e-02   -7.401967e-02    5.857592e-03
    3     31        1    8.933742e-02    7.699990e-02    5.790190e-03
    3     31        2   -9.144302e-02   -7.508943e-02    5.786085e-03
    3     32        1    8.844828e-02    7.678087e-02    5.697724e-03
    3     32        2   -8.918942e-02   -7.650105e-02    5.698172e-03
    3     33        1    8.554923e-02    7.681962e-02    5.629609e-03
    3     33        2   -8.024238e-02   -7.768618e-02    5.641740e-03
    3     34        1    8.730558e-02    7.707534e-02    5.588312e-03
    3     34        2   -8.283159e-02   -7.840910e-02    5.616611e-03
    3     35        1    8.356123e-02    7.744361e-02    5.567898e-03
    3     35        2   -7.534580e-02   -7.877181e-02    5.606212e-03
    3     36        1    7.445479e-02    7.783292e-02    5.561112e-03
    3     36        2   -7.861563e-02   -7.893141e-02    5.601105e-03
    3     37        1    8.801427e-02    7.818609e-02    5.562072e-03
    3     37        2   -7.870664e-02   -7.899599e-02    5.597897e-03
    3     38        1    7.725519e-02    7.847650e-02    5.566716e-03
    3     38        2   -7.669037e-02   -7.902286e-02    5.595643e-03
    3     39        1    7.738347e-02    7.869837e-02    5.572532e-03
    3     39        2   -7.670828e-02   -7.903763e-02    5.594097e-03
    3     40        1    7.816401e-02    7.885779e-02    5.578137e-03
    3     40        2   -7.925054e-02   -7.904975e-02    5.593137e-03
    3     41        1    8.151448e-02    7.896616e-02    5.582894e-03
    3     41        2   -7.150297e-02   -7.906155e-02    5.592630e-03
    4      1        1    5.172587e-02    5.110495e-02    3.578619e-03
    4      1        2   -4.383301e-02   -4.982814e-02    3.516359e-03
    4      2        1    4.274041e-02    5.145668e-02    3.584231e-03
    4      2        2   -5.115173e-02   -4.975528e-02    3.511827e-03
    4      3        1    5.042825e-02    5.186732e-02    3.587671e-03
    4      3        2   -5.244243e-02   -4.965654e-02    3.506216e-03
    4      4        1    4.449553e-02    5.233016e-02    3.586970e-03
    4      4        2   -4.728860e-02   -4.952919e-02    3.499367e-03
    4      5        1    5.050128e-02    5.282484e-02    3.579161e-03
    4      5        2   -4.835550e-02   -4.937467e-02    3.491000e-03
    4      6        1    4.860244e-02    5.330747e-02    3.559870e-03
    4      6        2   -5.226778e-02   -4.920281e-02    3.480404e-03
    4      7        1    4.386538e-02    5.369640e-02    3.522914e-03
    4      7        2   -4.935369e-02   -4.903786e-02    3.465597e-03
    4      8        1    4.108167e-02    5.385777e-02    3.460342e-03
    4      8        2   -4.726752e-02   -4.892414e-02    3.441317e-03
    4      9        1    4.738703e-02    5.361279e-02    3.364312e-03
    4      9        2   -4.873034e-02   -4.892208e-02    3.395263e-03
    4     10        1    3.940031e-02    5.282957e-02    3.233709e-03
    4     10        2   -4.773667e-02   -4.907859e-02    3.306306e-03
    4     11        1    3.792765e-02    5.165872e-02    3.086502e-03
    4     11        2   -4.266614e-02   -4.939086e-02    3.165243e-03
    4     12        1    3.131774e-02    5.063060e-02    2.960548e-03
    4     12        2   -3.613148e-02   -4.983390e-02    3.023754e-03
    4     13        1    2.988119e-02    5.011173e-02    2.880154e-03
    4     13        2   -3.038370e-02   -5.030583e-02    2.939334e-03
    4     14        1    2.682193e-02    5.000259e-02    2.840067e-03
    4     14        2   -2.253757e-02   -5.066456e-02    2.902680e-03
    4     15        1    2.442250e-02    5.004994e-02    2.824691e-03
    4     15        2   -2.764471e-02   -5.086518e-02    2.891375e-03
    4     16        1    3.170882e-02    5.007653e-02    2.822660e-03
    4     16        2   -3.088536e-02   -5.092176e-02    2.895203e-03
    4     17        1    2.807275e-02    5.004623e-02    2.831625e-03
    4     17        2   -3.165778e-02   -5.085556e-02    2.915327e-03
    4     18        1    3.055971e-02    5.007685e-02    2.859266e-03
    4     18        2   -2.979999e-02   -5.069354e-02    2.965088e-03
    4     19        1    3.144762e-02    5.043769e-02    2.922616e-03
    4     19        2   -3.600337e-02   -5.051231e-02    3.076805e-03
    4     20        1    3.320570e-02    5.148279e-02    3.043066e-03
    4     20        2   -3.761012e-02   -5.049014e-02    3.298769e-03
    4     21        1    2.991070e-02    5.337253e-02    3.229301e-03
    4     21        2   -5.740363e-02   -5.074913e-02    3.615118e-03
    4     22        1    4.230370e-02    5.563754e-02    3.451760e-03
    4     22        2   -6.052637e-02   -5.102683e-02    3.862457e-03
    4     23        1    4.418073e-02    5.749268e-02    3.658663e-03
    4     23        2   -6.693174e-02   -5.119664e-02    3.980821e-03
    4     24        1    4.556711e-02    5.859073e-02    3.819739e-03
    4     24        2   -6.368800e-02   -5.133345e-02    4.026975e-03
    4     25        1    4.908486e-02    5.899244e-02    3.929878e-03
    4     25        2   -6.591564e-02   -5.146966e-02    4.044824e-03
    4     26        1    5.232644e-02    5.887379e-02    3.994803e-03
    4     26        2   -6.632274e-02   -5.160000e-02    4.052509e-03
    4     27        1    6.073137e-02    5.837979e-02    4.021849e-03
    4     27        2   -6.649114e-02   -5.171269e-02    4.055333e-03
    4     28        1    6.330803e-02    5.759315e-02    4.016724e-03
    4     28        2   -6.384534e-02   -5.179586e-02    4.052038e-03
    4     29        1    5.033366e-02    5.654951e-02    3.983374e-03
    4     29        2   -6.433997e-02   -5.182743e-02    4.034462e-03
    4     30        1    5.942869e-02    5.528074e-02    3.925917e-03
    4     30        2   -5.636894e-02   -5.175276e-02    3.983630e-03
    4     31        1    5.568702e-02    5.388966e-02    3.852522e-03
    4     31        2   -5.685809e-02   -5.149805e-02    3.877127e-03
    4     32        1    5.662781e-02    5.258597e-02    3.777220e-03
    4     32        2   -6.005523e-02   -5.115037e-02    3.740732e-03
    4     33        1    5.127074e-02    5.154425e-02    3.712001e-03
    4     33        2   -5.875585e-02   -5.091663e-02    3.642081e-03
    4     34        1    5.107930e-02    5.079421e-02    3.660531e-03
    4     34        2   -4.737673e-02   -5.078064e-02    3.590905e-03
    4     35        1    5.472823e-02    5.028667e-02    3.621561e-03
    4     35        2   -4.309967e-02   -5.066789e-02    3.567475e-03
    4     36        1    5.224030e-02    4.995976e-02    3.592632e-03
    4     36        2   -5.715436e-02   -5.055075e-02    3.556513e-03
    4     37        1    5.727713e-02    4.976135e-02    3.571446e-03
    4     37        2   -4.543879e-02   -5.043098e-02    3.550506e-03
    4     38        1    4.885124e-02    4.965201e-02    3.556153e-03
    4     38        2   -4.919917e-02   -5.031714e-02    3.546364e-03
    4     39        1    5.343141e-02    4.960287e-02    3.545311e-03
    4     39        2   -4.863112e-02   -5.021589e-02    3.542968e-03
    4     40        1    5.293089e-02    4.959307e-02    3.537803e-03
    4     40        2   -5.039417e-02   -5.013045e-02    3.539978e-03
    4     41        1    5.017424e-02    4.960764e-02    3.532759e-03
    4     41        2   -4.967781e-02   -5.006130e-02    3.537328e-03
    5      1        1    2.811625e-02    3.287567e-02    2.220939e-03
    5      1        2   -2.845699e-02   -3.084099e-02    2.207732e-03
    5      2        1    2.941121e-02    3.290493e-02    2.206203e-03
    5      2        2   -3.017345e-02   -3.073648e-02    2.207321e-03
    5      3        1    2.695203e-02    3.288201e-02    2.186255e-03
    5      3        2   -3.417627e-02   -3.062040e-02    2.207390e-03
    5      4        1    2.792494e-02    3.278112e-02    2.159522e-03
    5      4        2   -3.249725e-02   -3.049338e-02    2.207915e-03
    5      5        1    2.981309e-02    3.256714e-02    2.124005e-03
    5      5        2   -3.074788e-02   -3.035623e-02    2.208527e-03
    5      6        1    2.738163e-02    3.219333e-02    2.077221e-03
    5      6        2   -3.540109e-02   -3.020848e-02    2.207986e-03
    5      7        1    2.309922e-02    3.160042e-02    2.016250e-03
    5      7        2   -3.178323e-02   -3.004368e-02    2.203003e-03
    5      8        1    2.296387e-02    3.072159e-02    1.938154e-03
    5      8        2   -2.913123e-02   -2.983662e-02    2.185805e-03
    5      9        1    2.450658e-02    2.950464e-02    1.841303e-03
    5      9        2   -3.223825e-02   -2.951585e-02    2.140032e-03
    5     10        1    2.182770e-02    2.797054e-02    1.728476e-03
    5     10        2   -2.589266e-02   -2.893684e-02    2.039132e-03
    5     11        1    1.913228e-02    2.630542e-02    1.611285e-03
    5     11        2   -2.173855e-02   -2.799028e-02    1.868912e-03
    5     12        1    1.872705e-02    2.484522e-02    1.508741e-03
    5     12        2   -1.983785e-02   -2.696843e-02    1.684694e-03
    5     13        1    1.722568e-02    2.380638e-02    1.433310e-03
    5     13        2   -1.651339e-02   -2.630889e-02    1.561222e-03
    5     14        1    1.460598e-02    2.317746e-02    1.385324e-03
    5     14        2   -1.438542e-02   -2.601398e-02    1.499518e-03
    5     15        1    1.479802e-02    2.287041e-02    1.360681e-03
    5     15        2   -1.463063e-02   -2.594375e-02    1.476205e-03
    5     16        1    1.706082e-02    2.282085e-02    1.356169e-03
    5     16        2   -1.368874e-02   -2.602515e-02    1.477963e-03
    5     17        1    1.764876e-02    2.301560e-02    1.371063e-03
    5     17        2   -1.512117e-02   -2.627037e-02    1.504580e-03
    5     18        1    1.629210e-02    2.349846e-02    1.407446e-03
    5     18        2   -1.389344e-02   -2.678310e-02    1.569683e-03
    5     19        1    1.938915e-02    2.437027e-02    1.470100e-03
    5     19        2   -1.924460e-02   -2.778413e-02    1.704772e-03
    5     20        1    1.653694e-02    2.576347e-02    1.564976e-03
    5     20        2   -2.387707e-02   -2.953334e-02    1.949077e-03
    5     21        1    1.720756e-02    2.772397e-02    1.693089e-03
    5     21        2   -3.303093e-02   -3.178574e-02    2.269747e-03
    5     22        1    2.182580e-02    3.000723e-02    1.840656e-03
    5     22        2   -3.364051e-02   -3.344483e-02    2.507746e-03
    5     23        1    2.608308e-02    3.217938e-02    1.984439e-03
    5     23        2   -3.966390e-02   -3.423123e-02    2.616909e-03
    5     24        1    2.695665e-02    3.395960e-02    2.108715e-03
    5     24        2   -4.117794e-02   -3.456053e-02    2.655428e-03
    5     25        1    2.803841e-02    3.527083e-02    2.208194e-03
    5     25        2   -3.536863e-02   -3.471765e-02    2.666254e-03
    5     26        1    2.827372e-02    3.613856e-02    2.283247e-03
    5     26        2   -4.122767e-02   -3.481361e-02    2.667512e-03
    5     27        1    2.785364e-02    3.661595e-02    2.336125e-03
    5     27        2   -3.839173e-02   -3.487800e-02    2.664887e-03
    5     28        1    3.307757e-02    3.675167e-02    2.369203e-03
    5     28        2   -3.477522e-02   -3.489976e-02    2.657651e-03
    5     29        1    3.072303e-02    3.658379e-02    2.384521e-03
    5     29        2   -3.922250e-02   -3.482363e-02    2.638665e-03
    5     30        1    2.958546e-02    3.615304e-02    2.384260e-03
    5     30        2   -3.447363e-02   -3.452262e-02    2.591177e-03
    5     31        1    3.125421e-02    3.553644e-02    2.372174e-03
    5     31        2   -3.785346e-02   -3.384458e-02    2.495165e-03
    5     32        1    3.635890e-02    3.486553e-02    2.354427e-03
    5     32        2   -3.220617e-02   -3.296115e-02    2.372299e-03
    5     33        1    3.346080e-02    3.425622e-02    2.336612e-03
    5     33        2   -3.453545e-02   -3.233241e-02    2.282973e-03
    5     34        1    3.288084e-02    3.374907e-02    2.321057e-03
    5     34        2   -3.011494e-02   -3.202225e-02    2.238196e-03
